year,geography_name,geography,sex,race_ethnicity,age_category,metric_name,metric_value,lower_bound,upper_bound,uncertainty_type,source,category,quality_flag,candida_auris_case_type,blood_lead_level,fatal_nonfatal_shootings,leading_cause_death,leading_cause_death_rank,drug_category,aqi_category,syphilis_transmission_category,smoke_type,objectid
2012,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_drug_overdose_deaths_by_drugs_involved,68,-99999,-99999,NA,Philadelphia Medical Examiner's Office,Mortality and Life Expectancy,NA,NA,NA,NA,NA,NA,Stimulant Only,NA,NA,NA,1153
2012,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_drug_overdose_deaths_by_drugs_involved,22,-99999,-99999,NA,Philadelphia Medical Examiner's Office,Mortality and Life Expectancy,NA,NA,NA,NA,NA,NA,Other,NA,NA,NA,1154
2019,Philadelphia,County,Male,Asian/PI (NH),All ages,age_adjusted_mortality_rate_per_100k,18.12082027,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Drug overdoses,NA,NA,NA,NA,NA,1155
2019,Philadelphia,County,Female,Asian/PI (NH),All ages,age_adjusted_mortality_rate_per_100k,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Drug overdoses,NA,NA,NA,NA,NA,1156
2018,Philadelphia,County,Female,Asian/PI (NH),All ages,age_adjusted_mortality_rate_per_100k,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Drug overdoses,NA,NA,NA,NA,NA,1157
2018,Philadelphia,County,All sexes,All races/ethnicities,All ages,age_adjusted_mortality_rate_per_100k,57.90065479,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Drug overdoses,NA,NA,NA,NA,NA,1158
2018,Philadelphia,County,Male,All races/ethnicities,All ages,age_adjusted_mortality_rate_per_100k,88.33189458,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Drug overdoses,NA,NA,NA,NA,NA,1159
2018,Philadelphia,County,All sexes,White (NH),All ages,age_adjusted_mortality_rate_per_100k,84.10346428,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Drug overdoses,NA,NA,NA,NA,NA,1160
2018,Philadelphia,County,Male,White (NH),All ages,age_adjusted_mortality_rate_per_100k,116.90048741,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Drug overdoses,NA,NA,NA,NA,NA,1161
2016,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_gonorrhea_cases,6967,-99999,-99999,NA,"STD Surveillance, Division of Disease Control, PDPH",Infectious Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1162
2017,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_gonorrhea_cases,7257,-99999,-99999,NA,"STD Surveillance, Division of Disease Control, PDPH",Infectious Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1163
2018,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_gonorrhea_cases,7205,-99999,-99999,NA,"STD Surveillance, Division of Disease Control, PDPH",Infectious Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164
2019,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_gonorrhea_cases,7043,-99999,-99999,NA,"STD Surveillance, Division of Disease Control, PDPH",Infectious Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1165
2020,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_gonorrhea_cases,7218,-99999,-99999,NA,"STD Surveillance, Division of Disease Control, PDPH",Infectious Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1166
2021,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_gonorrhea_cases,7824,-99999,-99999,NA,"STD Surveillance, Division of Disease Control, PDPH",Infectious Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1167
2020,Philadelphia,County,Assigned male at birth,All races/ethnicities,All ages,newly_diagnosed_HIV_rate_per_100k,35.8,-99999,-99999,NA,"HIV Surveillance Data, Division of HIV Health, PDPH",Infectious Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1168
2021,Philadelphia,County,Assigned male at birth,All races/ethnicities,All ages,newly_diagnosed_HIV_rate_per_100k,40.89,-99999,-99999,NA,"HIV Surveillance Data, Division of HIV Health, PDPH",Infectious Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1169
2017,Philadelphia,County,Assigned female at birth,All races/ethnicities,All ages,newly_diagnosed_HIV_rate_per_100k,13.11,-99999,-99999,NA,"HIV Surveillance Data, Division of HIV Health, PDPH",Infectious Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1170
2018,Philadelphia,County,Assigned female at birth,All races/ethnicities,All ages,newly_diagnosed_HIV_rate_per_100k,13.36,-99999,-99999,NA,"HIV Surveillance Data, Division of HIV Health, PDPH",Infectious Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1171
2019,Philadelphia,County,Assigned female at birth,All races/ethnicities,All ages,newly_diagnosed_HIV_rate_per_100k,13.48,-99999,-99999,NA,"HIV Surveillance Data, Division of HIV Health, PDPH",Infectious Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1172
2020,Philadelphia,County,Assigned female at birth,All races/ethnicities,All ages,newly_diagnosed_HIV_rate_per_100k,10.24,-99999,-99999,NA,"HIV Surveillance Data, Division of HIV Health, PDPH",Infectious Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1173
2012,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_drug_overdose_deaths_by_drugs_involved,513,-99999,-99999,NA,Philadelphia Medical Examiner's Office,Mortality and Life Expectancy,NA,NA,NA,NA,NA,NA,Total,NA,NA,NA,1174
2013,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_drug_overdose_deaths_by_drugs_involved,153,-99999,-99999,NA,Philadelphia Medical Examiner's Office,Mortality and Life Expectancy,NA,NA,NA,NA,NA,NA,Opioid & Stimulant,NA,NA,NA,1175
2013,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_drug_overdose_deaths_by_drugs_involved,204,-99999,-99999,NA,Philadelphia Medical Examiner's Office,Mortality and Life Expectancy,NA,NA,NA,NA,NA,NA,Opioid Only,NA,NA,NA,1176
2013,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_drug_overdose_deaths_by_drugs_involved,68,-99999,-99999,NA,Philadelphia Medical Examiner's Office,Mortality and Life Expectancy,NA,NA,NA,NA,NA,NA,Stimulant Only,NA,NA,NA,1177
2013,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_drug_overdose_deaths_by_drugs_involved,35,-99999,-99999,NA,Philadelphia Medical Examiner's Office,Mortality and Life Expectancy,NA,NA,NA,NA,NA,NA,Other,NA,NA,NA,1178
2013,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_drug_overdose_deaths_by_drugs_involved,460,-99999,-99999,NA,Philadelphia Medical Examiner's Office,Mortality and Life Expectancy,NA,NA,NA,NA,NA,NA,Total,NA,NA,NA,1179
2018,Philadelphia,County,All sexes,Black (NH),All ages,age_adjusted_mortality_rate_per_100k,45.08096971,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Drug overdoses,NA,NA,NA,NA,NA,1180
2018,Philadelphia,County,Female,All races/ethnicities,All ages,age_adjusted_mortality_rate_per_100k,30.99738039,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Drug overdoses,NA,NA,NA,NA,NA,1181
2018,Philadelphia,County,Male,Black (NH),All ages,age_adjusted_mortality_rate_per_100k,70.51935868,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Drug overdoses,NA,NA,NA,NA,NA,1182
2018,Philadelphia,County,Female,White (NH),All ages,age_adjusted_mortality_rate_per_100k,50.88617289,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Drug overdoses,NA,NA,NA,NA,NA,1183
2018,Philadelphia,County,All sexes,Hispanic,All ages,age_adjusted_mortality_rate_per_100k,60.4668127,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Drug overdoses,NA,NA,NA,NA,NA,1184
2018,Philadelphia,County,Male,Hispanic,All ages,age_adjusted_mortality_rate_per_100k,105.15683702,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Drug overdoses,NA,NA,NA,NA,NA,1185
2018,Philadelphia,County,Female,Black (NH),All ages,age_adjusted_mortality_rate_per_100k,26.11230125,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Drug overdoses,NA,NA,NA,NA,NA,1186
2016,Philadelphia,County,All sexes,Black (NH),All ages,count_deaths,126,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,3,NA,NA,NA,NA,1187
2013,Philadelphia,County,All sexes,Black (NH),All ages,count_deaths,126,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,3,NA,NA,NA,NA,1188
2016,Philadelphia,County,Female,Black (NH),All ages,count_deaths,125,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,2,NA,NA,NA,NA,1189
2014,Philadelphia,County,Female,All races/ethnicities,All ages,count_deaths,125,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,3,NA,NA,NA,NA,1190
2012,Philadelphia,County,Male,Black (NH),All ages,count_deaths,125,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Prostate cancer,2,NA,NA,NA,NA,1191
2012,Philadelphia,County,All sexes,Black (NH),All ages,count_deaths,125,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Prostate cancer,3,NA,NA,NA,NA,1192
2019,Philadelphia,County,Female,All races/ethnicities,All ages,count_deaths,124,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,3,NA,NA,NA,NA,1193
2017,Philadelphia,County,Male,Hispanic,All ages,age_adjusted_mortality_rate_per_100k,28.87357611,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Homicide,NA,NA,NA,NA,NA,1194
2017,Philadelphia,County,Female,Hispanic,All ages,age_adjusted_mortality_rate_per_100k,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Homicide,NA,NA,NA,NA,NA,1195
2016,Philadelphia,County,Female,All races/ethnicities,All ages,age_adjusted_mortality_rate_per_100k,2.7967048,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Homicide,NA,NA,NA,NA,NA,1196
2016,Philadelphia,County,All sexes,White (NH),All ages,age_adjusted_mortality_rate_per_100k,3.32794995,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Homicide,NA,NA,NA,NA,NA,1197
2016,Philadelphia,County,Female,Black (NH),All ages,age_adjusted_mortality_rate_per_100k,4.05345925,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Homicide,NA,NA,NA,NA,NA,1198
2016,Philadelphia,County,Male,White (NH),All ages,age_adjusted_mortality_rate_per_100k,4.49529366,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Homicide,NA,NA,NA,NA,NA,1199
2016,Philadelphia,County,Female,White (NH),All ages,age_adjusted_mortality_rate_per_100k,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Homicide,NA,NA,NA,NA,NA,1200
2019-2021,Philadelphia,County,All sexes,NA,All ages,age_adjusted_preventable_hypertension_hospitalization_rate_per_10k,36,31,42,95% Confidence Interval,"2019-2021 Hospital Discharges, PA Health Care Cost Containment Council",Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1201
2019-2021,Philadelphia,County,Female,NA,All ages,age_adjusted_preventable_hypertension_hospitalization_rate_per_10k,30,24,37,95% Confidence Interval,"2019-2021 Hospital Discharges, PA Health Care Cost Containment Council",Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1202
2019-2021,Philadelphia,County,Male,NA,All ages,age_adjusted_preventable_hypertension_hospitalization_rate_per_10k,44,35,55,95% Confidence Interval,"2019-2021 Hospital Discharges, PA Health Care Cost Containment Council",Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1203
2019-2021,Philadelphia,County,All sexes,White (NH),All ages,age_adjusted_preventable_hypertension_hospitalization_rate_per_10k,4,3,4,95% Confidence Interval,"2019-2021 Hospital Discharges, PA Health Care Cost Containment Council",Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1204
2019-2021,Philadelphia,County,Female,White (NH),All ages,age_adjusted_preventable_hypertension_hospitalization_rate_per_10k,3,3,4,95% Confidence Interval,"2019-2021 Hospital Discharges, PA Health Care Cost Containment Council",Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1205
2019-2021,Philadelphia,County,Male,White (NH),All ages,age_adjusted_preventable_hypertension_hospitalization_rate_per_10k,4,3,4,95% Confidence Interval,"2019-2021 Hospital Discharges, PA Health Care Cost Containment Council",Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1206
2012,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_deaths,277,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,2,NA,NA,NA,NA,1207
2021,Philadelphia,County,All sexes,White (NH),All ages,count_deaths,275,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Lung cancer,1,NA,NA,NA,NA,1208
2013,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_deaths,252,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,3,NA,NA,NA,NA,1209
2019,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_deaths,251,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,2,NA,NA,NA,NA,1210
2013,Philadelphia,County,Female,All races/ethnicities,All ages,count_deaths,249,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,2,NA,NA,NA,NA,1211
2021,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_deaths,247,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Colorectal cancer,2,NA,NA,NA,NA,1212
2018,Philadelphia,County,All sexes,Hispanic,All ages,count_deaths,179,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Cancer,1,NA,NA,NA,NA,1213
2017,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_deaths,246,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,2,NA,NA,NA,NA,1214
2016,Philadelphia,County,Male,Black (NH),All ages,count_deaths,124,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Prostate cancer,2,NA,NA,NA,NA,1215
2016,Philadelphia,County,All sexes,Black (NH),All ages,count_deaths,124,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Prostate cancer,4,NA,NA,NA,NA,1216
2014,Philadelphia,County,Female,Black (NH),All ages,count_deaths,124,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,2,NA,NA,NA,NA,1217
2014,Philadelphia,County,All sexes,Black (NH),All ages,count_deaths,124,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,2,NA,NA,NA,NA,1218
2015,Philadelphia,County,All sexes,Black (NH),All ages,count_deaths,123,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,3,NA,NA,NA,NA,1219
2013,Philadelphia,County,Female,Black (NH),All ages,count_deaths,123,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,2,NA,NA,NA,NA,1220
2012,Philadelphia,County,All sexes,Black (NH),All ages,count_deaths,123,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,4,NA,NA,NA,NA,1221
2016,Philadelphia,County,All sexes,Asian/PI (NH),All ages,age_adjusted_mortality_rate_per_100k,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Homicide,NA,NA,NA,NA,NA,1222
2016,Philadelphia,County,Female,Asian/PI (NH),All ages,age_adjusted_mortality_rate_per_100k,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Homicide,NA,NA,NA,NA,NA,1223
2016,Philadelphia,County,Female,Hispanic,All ages,age_adjusted_mortality_rate_per_100k,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Homicide,NA,NA,NA,NA,NA,1224
2016,Philadelphia,County,Male,Asian/PI (NH),All ages,age_adjusted_mortality_rate_per_100k,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Homicide,NA,NA,NA,NA,NA,1225
2016,Philadelphia,County,All sexes,All races/ethnicities,All ages,age_adjusted_mortality_rate_per_100k,17.13138008,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Homicide,NA,NA,NA,NA,NA,1226
2016,Philadelphia,County,Male,All races/ethnicities,All ages,age_adjusted_mortality_rate_per_100k,32.25198534,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Homicide,NA,NA,NA,NA,NA,1227
2016,Philadelphia,County,All sexes,Black (NH),All ages,age_adjusted_mortality_rate_per_100k,34.62637045,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Homicide,NA,NA,NA,NA,NA,1228
2021,Philadelphia,County,All sexes,All races/ethnicities,<1,infant_mortality_rate_per_1k_live_births,6.57554106,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,NA,NA,NA,NA,NA,NA,1229
2021,Philadelphia,County,All sexes,Asian/PI (NH),<1,infant_mortality_rate_per_1k_live_births,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,"Suppressed; Preliminary estimate",NA,NA,NA,NA,NA,NA,NA,NA,NA,1230
2021,Philadelphia,County,All sexes,Black (NH),<1,infant_mortality_rate_per_1k_live_births,11.95899772,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,NA,NA,NA,NA,NA,NA,1231
2021,Philadelphia,County,All sexes,Hispanic,<1,infant_mortality_rate_per_1k_live_births,3.15075133,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,"Unreliable; Preliminary estimate",NA,NA,NA,NA,NA,NA,NA,NA,NA,1232
2021,Philadelphia,County,All sexes,White (NH),<1,infant_mortality_rate_per_1k_live_births,2.67840061,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,"Unreliable; Preliminary estimate",NA,NA,NA,NA,NA,NA,NA,NA,NA,1233
2020,Philadelphia,County,All sexes,All races/ethnicities,<1,infant_mortality_rate_per_1k_live_births,5.93441963,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1234
2014,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_deaths,245,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,3,NA,NA,NA,NA,1235
2014,Philadelphia,County,Female,All races/ethnicities,All ages,count_deaths,244,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,2,NA,NA,NA,NA,1236
2017,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_deaths,240,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,3,NA,NA,NA,NA,1237
2012,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_deaths,239,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,3,NA,NA,NA,NA,1238
2020,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_deaths,238,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,2,NA,NA,NA,NA,1239
2012,Philadelphia,County,Female,All races/ethnicities,All ages,count_deaths,237,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,2,NA,NA,NA,NA,1240
2020,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_deaths,236,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,3,NA,NA,NA,NA,1241
2014,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_congenital_syphilis_cases,4,-99999,-99999,NA,"STD Surveillance, Division of Disease Control, PDPH",Infectious Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1242
2015,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_congenital_syphilis_cases,4,-99999,-99999,NA,"STD Surveillance, Division of Disease Control, PDPH",Infectious Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1243
2016,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_congenital_syphilis_cases,5,-99999,-99999,NA,"STD Surveillance, Division of Disease Control, PDPH",Infectious Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1244
2017,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_congenital_syphilis_cases,6,-99999,-99999,NA,"STD Surveillance, Division of Disease Control, PDPH",Infectious Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1245
2018,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_congenital_syphilis_cases,3,-99999,-99999,NA,"STD Surveillance, Division of Disease Control, PDPH",Infectious Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1246
2019,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_congenital_syphilis_cases,6,-99999,-99999,NA,"STD Surveillance, Division of Disease Control, PDPH",Infectious Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1247
2016,Philadelphia,County,Male,Black (NH),All ages,age_adjusted_mortality_rate_per_100k,69.54349664,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Homicide,NA,NA,NA,NA,NA,1248
2016,Philadelphia,County,All sexes,Hispanic,All ages,age_adjusted_mortality_rate_per_100k,12.66709491,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Homicide,NA,NA,NA,NA,NA,1249
2016,Philadelphia,County,Male,Hispanic,All ages,age_adjusted_mortality_rate_per_100k,24.0321443,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Homicide,NA,NA,NA,NA,NA,1250
2015,Philadelphia,County,Female,All races/ethnicities,All ages,age_adjusted_mortality_rate_per_100k,3.20741104,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Homicide,NA,NA,NA,NA,NA,1251
2015,Philadelphia,County,All sexes,White (NH),All ages,age_adjusted_mortality_rate_per_100k,3.21572942,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Homicide,NA,NA,NA,NA,NA,1252
2015,Philadelphia,County,Female,Black (NH),All ages,age_adjusted_mortality_rate_per_100k,4.78616592,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Homicide,NA,NA,NA,NA,NA,1253
2015,Philadelphia,County,Male,White (NH),All ages,age_adjusted_mortality_rate_per_100k,3.83617301,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Homicide,NA,NA,NA,NA,NA,1254
2020,Philadelphia,County,Male,Asian/PI (NH),All ages,count_deaths,58,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Cancer,2,NA,NA,NA,NA,1255
2020,Philadelphia,County,All sexes,Asian/PI (NH),<1,infant_mortality_rate_per_1k_live_births,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1256
2020,Philadelphia,County,All sexes,Black (NH),<1,infant_mortality_rate_per_1k_live_births,10.33029768,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1257
2020,Philadelphia,County,All sexes,Hispanic,<1,infant_mortality_rate_per_1k_live_births,4.55744783,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1258
2020,Philadelphia,County,All sexes,White (NH),<1,infant_mortality_rate_per_1k_live_births,3.2523436,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1259
2019,Philadelphia,County,All sexes,All races/ethnicities,<1,infant_mortality_rate_per_1k_live_births,7.11847879,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1260
2019,Philadelphia,County,All sexes,Asian/PI (NH),<1,infant_mortality_rate_per_1k_live_births,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1261
2019,Philadelphia,County,All sexes,Black (NH),<1,infant_mortality_rate_per_1k_live_births,11.91864231,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1262
2017,Philadelphia,County,Female,All races/ethnicities,All ages,count_deaths,236,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,2,NA,NA,NA,NA,1263
